,ner
273,"['tổng công ty', 'fpt', 'tập đoàn', 'đường sắt', 'việt nam']"
274,[]
275,[]
277,['trần minh khoa mã']
279,[]
280,['phạm văn khương mã']
281,"['cổ phần', 'pnj', 'đông á', 'ngân hàng', 'thương mại']"
283,"['sài gòn', 'hose', 'sfc', 'nhiên liệu', 'đá quý', 'ctcp', 'phú nhuận', 'pnj', 'vàng bạc']"
284,"['cao thị ngọc dung', 'pnj']"
285,"['nclq', 'công ty', 'mã', 'lê song lai', 'scic', 'sic', 'đầu tư', 'tnhh', 'mtv']"
287,"['pháp', 'núi']"
289,"['nclq', 'công ty', 'nguyễn duy hưng', 'ndh', 'tnhh', 'việt nam']"
290,['ubcknn']
293,"['đặng thanh thuý mã', 'vic']"
294,"['cao thị ngọc dung', 'pnj']"
295,['ubcknn']
299,[]
300,"['mã', 'bùi', 'nguyễn phương châu']"
301,"['sài gòn', 'đan linh', 'bđs', 'cty', 'hà thị thanh vân', 'tnhh', 'nguyễn hồng nam']"
302,"['hà thị thanh vân', 'nclq', 'nguyễn hồng nam']"
303,"['sài gòn', 'đan linh', 'bđs', 'cty', 'hà thị thanh vân', 'tnhh', 'nguyễn hồng nam']"
304,"['gdck', 'lưu', 'sở', 'tp', 'tập đoàn', 'hcm', 'ubcknn', 'vingroup', 'vingroup khi']"
306,[]
310,['nguyễn hồng nam']
311,"['nclq', 'nguyễn hồng nam']"
312,"['nclq', 'nguyễn hồng nam']"
315,"['mã', 'bùi', 'nguyễn phương châu']"
317,[]
323,"['luỹ', 'a']"
324,[]
335,[]
337,"['mã ck fpt', 'cổ phần', 'fpt', 'công ty', 'luỹ']"
339,[]
340,"['công ty', 'cp', 'đá quý', 'vàng bạc', 'pnj', 'phú nhuận']"
341,"['nichirei foods nhật bản', 'thực phẩm', 'công ty', 'cp', 'xuất nhập khẩu', 'masan food', 'cholimex cholimex foods trong', 'và', 'đầu tư', 'chợ lớn cholimex', 'tnhh', 'cholimex foods', 'mtv', 'masan masan food']"
342,"['công ty', 'cp', 'thế giới']"
343,['ubcknn']
344,['bidv']
348,[]
355,"['sài gòn', 'central park new york', 'nhật bản', 'vinhomes central park', 'tập đoàn', 'thành phố', 'công viên', 'người', 'sông', '\u200bnhằm', 'vingroup công trình', 'hồ chí minh', 'nguồn', 'vingroup', 'hoa kỳ']"
357,"['thế giới', 'ctcp', 'di động', 'đầu tư', 'mwg']"
358,[]
361,"['đông á', 'ngân hàng', 'pnj']"
362,"['royal city', 'vận tải', 'ngã tư vọng', 'đường', 'sở', 'vĩnh tuy', 'cầu', 'nguyễn trãi', 'mai động', 'chợ', 'láng ngã tư sở', 'tp', 'tập đoàn', 'thành phố', 'mơ', 'hà nội', 'times city', 'giao thông', 'ubnd', 'vingroup']"
366,"['đường', 'đinh tiên hoàng để', 'uỷ ban nhân dân', 'sở', 'đinh tiên hoàng lối', 'thành phố', 'văn hoá', 'thể thao', 'hồ chí minh', 'nguyễn đình chiểu với', 'và', 'du lịch', 'giao thông', 'vận tải', 'đinh tiên hoàng', 'vingroup', 'nguyễn thị minh khai', 'hoa lư']"
368,"['cổ phần', 'công ty', 'online baodautu', 'thế giới', 'kế hoạch', 'doanh', 'báo', 'và', 'bộ', 'đầu tư', 'vn', 'việt nam']"
370,"['hilton', 'đà nẵng', 'savills', 'sơn trà', 'thành phố', 'thanh khê', '28%', 'cẩm lệ', 'mười ba', 'vingroup', 'việt nam']"
