,NewsFullContent
9933,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy ctg hose    gvr upcom    stb hose    vib upcom    msr upcom    sbt hose    dhg hose    tch hose    fox upcom   ppc hose    lpb upcom    snz upcom    hpx hose    ctd hose    dvn upcom    kos hose    szc hose    csm hose    fts hose    naf hose    vfg hose    qcg hose    hhs hose    bsi hose    dgw hose    btp hose    pxl upcom    fir hose    bdt upcom    dlg hose    g upcom    hai hose    drh hose    vne hose    vrg upcom    sbv hose    ors upcom    klf hnx    bce hose    ttn upcom    ssn upcom    evg hose    hid hose    pwa upcom    pxi hose    dic hose    cdo upcom    ppi upcom  
9945,cổ phiếu bid  bidv đang giao dịch với thanh khoản tăng mạnh vào cuối phiên giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
9948,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy ctg hose    gvr upcom    stb hose    vib upcom    msr upcom    sbt hose    dhg hose    tch hose    fox upcom   ppc hose    lpb upcom    snz upcom    hpx hose    ctd hose    dvn upcom    kos hose    dhc hose    szc hose    csm hose    fts hose    dpr hose    hose    naf hose    vfg hose    qcg hose    hhs hose    bsi hose    nnc hose    dgw hose    btp hose    pxl upcom    bsa upcom    fir hose    bdt upcom    dlg hose    g upcom    hai hose    drh hose    vne hose    vrg upcom    sbv hose    ors upcom    klf hnx    bce hose    ttn upcom    ssn upcom    evg hose    hid hose    pwa upcom    pxi hose    dic hose    cdo upcom    ppi upcom  
9969,cổ phiếu vic  vingroup đang giao dịch với thanh khoản tăng mạnh vào cuối phiên giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
9989,cổ phiếu pnj  vàng phú nhuận có dấu hiệu bán chủ động với khối lượng bán xuống lớn giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
10000,cổ phiếu vic  vingroup đang giao dịch với thanh khoản tăng mạnh vào cuối phiên giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
10016,top cổ phiếu kéo chỉ số lên stt hose hnx upcom mã đóng góp mã đóng góp mã đóng góp vcb ~% mbg ~% tvn ~% msn ~% mbg ~% mkp ~% dxg ~% idc ~% acv ~% scs ~% pvx ~% bsq ~% hpg ~% msc ~% vgr ~% top cổ phiếu kéo chỉ số xuống stt hose hnx upcom mã đóng góp mã đóng góp mã đóng góp vic ~% acb ~% vgi ~% vhm ~% acb ~% bsr ~% sab ~% shb ~% fox ~% bid ~% shb ~% vsf ~% tcb ~% vcg ~% mch ~%
10026,cổ phiếu msn  tập đoàn masan có dấu hiệu đẩy giá với khối lượng đặt mua tại bước giá lớn giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
10033,top cổ phiếu kéo chỉ số lên stt hose hnx upcom mã đóng góp mã đóng góp mã đóng góp vcb ~% mbg ~% acv ~% msn ~% mbg ~% klb ~% bid ~% api ~% tvn ~% dxg ~% msc ~% mkp ~% scs ~% hut ~% vbb ~% top cổ phiếu kéo chỉ số xuống stt hose hnx upcom mã đóng góp mã đóng góp mã đóng góp sab ~% shb ~% bsr ~% vic ~% shb ~% vea ~% vjc ~% acb ~% fox ~% ctg ~% acb ~% vgi ~% hvn ~% ntp ~% lpb ~%
10067,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy msn hose    hpg hose    dcm hose    ros hose    lpb upcom    vre hose    hsg hose    pow hose    vcb hose    evfvn hose    thông tin chi tiết xin vui lòng truy cập tại
10068,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy msn hose    vcb hose    hpg hose    vic hose    vjc hose    vre hose    bid hose    evfvn hose    bvh hose    dcm hose    thông tin chi tiết xin vui lòng truy cập tại
10086,kết thúc phiên giao dịch ngày  trên sàn hose vnindex đạt mức  điểm thay đổi % toàn sàn có mã tăng mã giảm và mã đứng giá tham chiếu trên sàn hnx hnxindex đạt mức  điểm tương đương thay đổi % toàn sàn có mã tăng mã giảm và mã đứng giá tham chiếu khối lượng giao dịch toàn thị trường đạt  triệu đơn vị tương ứng giá trị  tỷ đồng trong đó giao dịch thỏa thuận trên hose  tỷ đồng giao dịch khối ngoại hiện bán ròng trên cả sàn với tổng giá trị  tỷ đồng tập trung vào các mã msn  tỷ đồng vic  tỷ đồng hpg  tỷ đồng
10087,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy msn hose    vic hose    hpg hose    vcb hose    vjc hose    vhm hose    vre hose    nvl hose    evfvn hose    bid hose    thông tin chi tiết xin vui lòng truy cập tại
10088,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vic hose    bid hose    gas hose    plx hose    bvh hose    pvs hnx    pvd hose    vci hose    hsg hose    hdg hose    ptb hose    yeg hose    bmi hose    msh hose    mbs hnx    ijc hose    shs hnx    tv hose    dpg hose    dd hose    hhs hose    hose    ntl hose    hdc hose    bsi hose    hnx    plc hnx    agr hose    szl hose    hai hose    idj hnx    sls hnx    drh hose    vcr hnx    lss hose    pvb hnx    tlh hose    dtd hnx    klf hnx    art hnx    mst hnx    vmc hnx    hid hose    sra hnx    ssn upcom    sjf hose    sdt hnx    vhg upcom   sci hnx    hsl hose    pxi hose    bii hnx   ila upcom    tgg hose    tdg hose    nsh hnx   cdo upcom   spi hnx   lcm hose   cen upcom   
10121,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vcb hose    vnm hose    ctg hose    phr hose    sbt hose    gab hose    tcb hose    bsr upcom    vtp upcom    hhs hose    thông tin chi tiết xin vui lòng truy cập tại
